First Name,Last Name Initial,Coolness
Rebecca,V,47
John,F,78
Rosa,L,83
John,U,70
Susan,S,84
Vera,H,35
Curtis,L,85
Derrick,I,37
Salvador,X,57
Jose,J,11
Donita,V,65
Carl,P,50
Susan,G,93
Joseph,R,50
Stephanie,Z,15
James,N,2
Robert,Q,3
David,J,94
Anthony,U,78
William,Q,50
Jeffrey,S,97
Richard,V,46
Carolyn,U,85
Francisca,U,53
Nelly,Z,7
Tara,C,22
Beatrice,L,91
Marlin,N,52
Mary,V,89
James,P,36
Michael,N,5
Bryce,J,29
Anna,U,37
Darryl,J,82
Ralph,K,93
Paul,W,37
Ryan,A,7
Jenise,F,57
John,D,25
Robert,B,2
Cynthia,N,47
Phyllis,U,79
Isabel,I,80
Janet,Z,78
Eric,E,54
Joseph,P,26
Joyce,O,0
Rachelle,E,87
Gertrude,Z,51
Michelle,I,96
Corey,U,36
Beverly,I,81
Joe,F,56
Debra,Y,1
Benjamin,P,45
Dolores,X,53
Brett,D,40
Trent,O,63
Charles,X,53
Russell,M,55
Gregory,D,79
Kevin,G,38
Richard,D,90
Carly,Q,15
Jennifer,E,41
Ilene,L,95
Jeff,I,99
Christopher,N,10
Eula,Z,62
Richard,O,26
Todd,V,3
Ricky,I,31
Bo,N,19
Antonio,X,37
Miguel,L,99
Tammy,C,60
Katherine,L,50
Leah,J,98
Joy,C,20
David,E,92
James,B,65
Joseph,R,11
Barbara,H,18
Richard,V,80
Clara,D,40
James,K,97
Sean,W,82
Lela,N,82
Linda,I,28
Irene,P,94
Leah,B,41
Christy,V,46
Ella,W,45
Kenneth,K,18
Catherine,R,92
Barbara,P,68
Pauline,S,30
Thomas,N,82
Nancy,T,49
Linda,K,51
Sam,G,91
Ashley,Z,19
Richard,N,84
Kelly,D,43
John,F,83
Shirley,Y,51
Bruce,W,85
Elvira,U,1
Danny,L,10
Dan,D,26
Mario,F,73
Donald,L,5
Douglas,Q,11
Robert,T,44
Aurelia,J,97
Angel,K,45
Joe,G,12
Nellie,C,30
Grant,E,83
Myrtle,E,16
Shayna,F,33
Rodney,Q,84
Lorraine,L,31
Anthony,N,92
Jeff,G,8
Nancy,P,18
John,S,54
Maria,T,86
Manuel,I,24
Ida,H,51
Michael,S,43
Paula,G,64
Reed,T,39
Bertha,N,86
Carl,C,38
Andrew,C,8
Deborah,A,19
Charles,Y,67
Barbara,C,78
Cheyenne,N,64
John,T,95
Susan,M,20
Sherry,Z,55
Sandra,Q,94
Robert,M,52
Pamala,M,80
Everette,G,54
Wanda,Y,69
Raymond,R,17
Ron,R,99
Viola,G,94
Teresa,T,74
Van,B,96
John,D,70
Jeanine,G,74
Mary,B,60
William,A,21
Lloyd,K,23
Gregory,U,41
Joshua,Z,16
Emilie,U,43
Neomi,R,38
Carmel,V,11
Stephanie,E,11
Antonio,Y,97
Jerry,L,18
Sarah,M,82
Becky,Q,98
Scott,Z,44
Brian,L,52
Susan,D,60
Lisa,Z,92
Kristina,M,53
James,C,90
Violet,C,37
Maximina,U,81
Evelyn,U,52
Marie,T,8
Greg,B,32
Daniel,D,35
Francis,E,81
Shirley,T,76
Antonio,M,97
David,U,30
Terrence,Q,74
Alan,C,14
Carole,W,26
Timothy,G,32
Linda,G,37
Steven,K,89
Justin,J,43
Carol,S,85
Alice,K,5
Robert,H,66
Robert,S,87
Amalia,C,15
Nadine,M,42
John,J,55
Harriet,U,34
Jennifer,U,95
David,S,66
Jaime,A,82
Virginia,E,68
Robert,D,94
Jordan,J,1
Barbara,G,70
Karen,C,66
William,T,81
Tony,J,4
Claudia,J,73
Frances,Q,79
Lawrence,A,42
Gerald,Y,30
Thomas,J,84
Loretta,U,3
